Cliente_id,Estado,Saldo,Saldo vencido,Creditos activos,Cuotas impagas,Días de atraso (máx.),Tiene cuotas impagas
KEKF04508526657925,Aprobado,3001893.67,2418842.05,1,8,229,Sí
EMBY81632088428746,Aprobado,1734881.36,995743.85,1,3,198,Sí
FPFW95380677526031,Aprobado,7247905.51,623046.88,1,8,170,Sí
JZWY98526672117573,Aprobado,4668608.11,,1,6,170,Sí
ZZWN65634042490486,Aprobado,492758.32,,1,1,139,Sí
FGQU20358394731204,Revisión,2733270.82,993916.65,1,4,109,Sí
GXYQ70935956893529,Aprobado,8593392.95,,1,4,109,Sí
OLSG19937071136049,Aprobado,1869698.88,378823.88,1,1,17,Sí
FBFF32852476762909,Aprobado,14266164.77,1346798.08,2,2,17,Sí
PXVN26996760762186,Revisión,3043780.46,,1,0,0,No
RNKU10572808115693,Aprobado,246379.16,,1,0,0,No
PCUZ62026304006829,Aprobado,991832.66,,1,0,0,No
PXVN26996760762186,Borrador,,,0,0,0,No
XXVB87682242626872,Aprobado,2725582.99,,1,0,0,No
REZJ09036398990728,Borrador,,,0,0,0,No
VZUQ63024388120096,Borrador,,,0,0,0,No
NVVH67335388784249,Aprobado,,,0,0,0,No
RJGG41443409436102,Aprobado,662558.64,,1,0,0,No
ULNQ72841847439900,Aprobado,496958.32,,1,0,0,No
HSUM18015358827875,Aprobado,369568.76,,1,0,0,No
SRTC40744223179179,Aprobado,2981749.99,,1,0,0,No
SRTC40744223179179,Borrador,,,0,0,0,No
MRBO65096301634083,Aprobado,2609031.24,,1,0,0,No
AUDS47883163743526,Aprobado,,,0,0,0,No
QZGJ47759636732419,Aprobado,931796.87,,1,0,0,No
MHBZ15213334448664,Borrador,,,0,0,0,No
MHBZ15213334448664,Aprobado,,,0,0,0,No
MHBZ15213334448664,Borrador,,,0,0,0,No
LGIX54716283154243,Aprobado,1068885.92,,2,0,0,No
LWNA25284286149313,Aprobado,1490875.0,,1,0,0,No
AKEB43108099428521,Aprobado,495437.34,,1,0,0,No
DNCN07432293672934,Aprobado,,,0,0,0,No
EHDY25181545023377,Aprobado,,,0,0,0,No
HEJV45556745083533,Revisión,,,0,0,0,No
FHRX00041548134639,Borrador,,,0,0,0,No
VVJQ99608825317255,Revisión,2174192.7,,1,0,0,No
DMXZ00724667512259,Borrador,,,0,0,0,No
IGYZ51920332357485,Aprobado,,,0,0,0,No
IGYZ51920332357485,Borrador,,,0,0,0,No
QSBC46521998234419,Revisión,1739354.17,,1,0,0,No
ZLOS28411530730562,Aprobado,4472624.99,,1,0,0,No
GCSB62808190562781,Borrador,,,0,0,0,No
KJZW33485677402176,Aprobado,,,0,0,0,No
OQHA46508980749441,Aprobado,11135060.78,5360.16,2,0,0,No
OWCF01021273022044,Borrador,,,0,0,0,No
DVUO69989281016179,Aprobado,369568.76,,1,0,0,No
NKYL49421738418307,Aprobado,13666354.11,,1,0,0,No
JAMX11140589198556,Aprobado,307973.95,,1,0,0,No
IKXQ25404556210426,Aprobado,,,1,0,0,No
AXVC32645079049657,Aprobado,,,0,0,0,No
AXVC32645079049657,Aprobado,,,0,0,0,No
FXXA57331481129478,Aprobado,1552994.78,,1,0,0,No
WVMX84626515884634,Aprobado,794313.53,,1,0,0,No
AXVC32645079049657,Borrador,,,0,0,0,No
WGJC17747353436602,Aprobado,,,0,0,0,No
LMJW52319233976330,Aprobado,6666620.13,,1,0,0,No
OELR05935977031401,Aprobado,15032989.51,,1,0,0,No
VVDH63894040773094,Aprobado,319738.41,160875.7,1,0,0,No
HKMH95797528098089,Revisión,8625291.19,,1,0,0,No
VVDH63894040773094,Borrador,,,0,0,0,No
HGTL03032996672654,Aprobado,,,0,0,0,No
KQPS48394964575016,Aprobado,88918626.57,,6,0,0,No
WAEK11943975028138,Aprobado,1242395.82,,1,0,0,No
ZRUM59750559861987,Borrador,,,0,0,0,No
UGIV67719117036579,Aprobado,,,0,0,0,No
MLKB93364153021122,Aprobado,9777729.21,,1,0,0,No
QPKY41027558892861,Aprobado,307973.95,,1,0,0,No
ATDU13705612897134,Aprobado,,,0,0,0,No
ZCWJ39434097461454,Borrador,,,0,0,0,No
RNBT30365463333084,Aprobado,,,0,0,0,No
ZRUM59750559861987,Aprobado,,,0,0,0,No
LLPN33523345330874,Borrador,,,0,0,0,No
LLPN33523345330874,Borrador,,,0,0,0,No
KIWB24499544116850,Aprobado,369568.76,,1,0,0,No
BNTO51496862883190,Aprobado,5666627.21,,1,0,0,No
NPCR18822109696722,Aprobado,615947.91,,1,0,0,No
HVYM52368921572913,Revisión,,,0,0,0,No
XTWA98609462723415,Aprobado,,,0,0,0,No
LLPN33523345330874,Aprobado,3180533.31,,2,0,0,No
MEOC21659915147679,Borrador,,,0,0,0,No
MEOC21659915147679,Revisión,107080.15,,1,0,0,No
MEOC21659915147679,Borrador,,,0,0,0,No
VKKW21100643155830,Borrador,,,0,0,0,No
REHF64319743503639,Aprobado,397535.2,,1,0,0,No
YZRV90357222029946,Aprobado,,,0,0,0,No
EMMP63655159715823,Aprobado,2435095.81,,1,0,0,No
GORV33243680548798,Aprobado,5285677.38,,1,0,0,No
AOBI16789207167411,Aprobado,9333268.19,,1,0,0,No
CRDJ05529552232596,Aprobado,3105949.58,,1,0,0,No
JVPS22134339838198,Borrador,,,0,0,0,No
JVPS22134339838198,Borrador,,,0,0,0,No
WGXJ27744976749387,Aprobado,1490875.0,,1,0,0,No
PFCX97082353108331,Aprobado,,,0,0,0,No
PFCX97082353108331,Aprobado,,,0,0,0,No
DHDG24532555614821,Aprobado,3354468.74,,1,0,0,No
DSMH61146129671251,Borrador,,,0,0,0,No
DKZP27369197389710,Aprobado,,,0,0,0,No
QTWV25308754458240,Borrador,,,0,0,0,No
PKXH89161351441686,Borrador,,,0,0,0,No
QBEG76090096949220,Aprobado,583051.62,,1,0,0,No
MVVD25639591247190,Aprobado,,,0,0,0,No
SJKV84142717769426,Aprobado,,,0,0,0,No
FYRE80878344685890,Aprobado,795070.38,,1,0,0,No
ZBKH30149637132445,Aprobado,2156322.81,,1,0,0,No
ZBKH30149637132445,Borrador,,,0,0,0,No
RPUS48716584554263,Aprobado,,,0,0,0,No
RPUS48716584554263,Borrador,,,0,0,0,No
LJMI75023465134147,Aprobado,147827.49,,1,0,0,No
YRPZ79067864155854,Aprobado,,,0,0,0,No
XPJY32970628781741,Aprobado,32622888.38,,2,0,0,No
TFFD36806971537817,Borrador,,,0,0,0,No
UOXE70941288551523,Borrador,,,0,0,0,No
JNLI55023089602720,Aprobado,2236312.49,,1,0,0,No
PGIL27146957642313,Aprobado,,,0,0,0,No
YSRW36620573433222,Aprobado,,,0,0,0,No
KIQE43699544772872,Aprobado,2236312.5,,1,0,0,No
UDXG64512981475735,Borrador,,,0,0,0,No
NAND65643840842910,Aprobado,4190446.94,,1,0,0,No
WIIE89811389013829,Aprobado,15644366.74,,1,0,0,No
PFEY35508303055317,Aprobado,5947054.15,,2,0,0,No
EFBX93936724295329,Aprobado,,,0,0,0,No
QADT16499096528257,Aprobado,,,0,0,0,No
CVKO02971149941725,Revisión,5780012.76,,2,0,0,No
UFJX02410271289087,Aprobado,,,0,0,0,No
WNBU54843313070840,Borrador,,,0,0,0,No
DCIZ28631464967303,Aprobado,2095465.66,,2,0,0,No
WUUB19952912327455,Aprobado,1867540.95,3947.2,1,0,0,No
